ptid,Y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,W
1,4.39366589202197,2.16694465401392,-0.450949639059281,0.660465016502342,-0.0621228060634331,0,-0.91449270301455,-0.450157971860918,1,0,0,1,0.678935812925138,1.07904309550984,-0.247666113505603,0.491895432967895,0,0.23483638015385,1.0926354482197,0.578389168832361,0,1,1.63426255122206,1,0,0,1.8382194347472,0.704044152295414,0,0,0.810502660890462,-0.0254479000803976,0.189176131628006,-2.61424025168891,1,0,0,1.41861838654053,-0.506094438142726,-0.183752446371429,2.23976678957899,1,-2.58816839058349,-0.619487343094795,1,1.08249176632959,-0.412051605352841,-0.382719644347552,1,-0.925012386469595,1,0
2,-0.131517272709601,-1.04790229733638,1.36596669088903,1.39081117790351,0.311435088773506,0,-0.277681805763329,-0.315845074141151,0,1,0,0,0.782747156165843,0.751339818347692,-0.0534475634070756,1.64142938698182,0,0.270893649542678,-0.0469633043223299,0.314799602415211,1,0,0.418912635498218,0,0,0,0.418593471966228,0.00199879112937987,0,0,0.343008848929854,-1.13549374782358,-0.753296943955547,0.686039650212164,0,0,0,0.232167477999086,0.318330029658807,1.11660224170658,1.64059934998019,1,0.307705390238955,1.23648499452266,1,1.51404467951711,1.43850861522925,1.00739645521387,1,0.012430830925415,0,1
3,7.07863611852616,-0.574762566534677,0.499566405406489,0.889027788702673,0.159856652913682,0,0.38324008377329,1.36596251390282,0,0,1,0,0.686705487023046,1.29215942140862,1.96565205424607,0.355797653872235,0,1.53239060760403,0.991451440469558,1.09018063421094,0,1,0.0734264421933739,0,0,0,0.952184342091317,0.914233536387557,0,1,2.24238047653113,1.0235743277267,-0.286494291944024,1.04765337240513,0,0,1,-0.582562507614736,0.910368544727265,0.914302990382079,0.294332271418635,0,0.0966706848058311,0.97693085399592,1,0.828213905595186,1.14428794273957,0.938198486950814,1,-0.249330693489656,0,0
4,9.45113997572542,0.0139995791486342,2.6042237421111,-0.764553884026425,-0.00217354665439496,0,0.78338672907996,0.116196466761111,0,1,0,0,-0.0583369318985929,0.388787051520117,1.20594679608008,-0.857481275733862,0,1.03088458188563,1.48354009951905,-0.271778326189575,1,1,0.158516319221872,0,0,0,0.0167292531111822,0.140505820124371,0,1,1.27704063321419,0.582630589169013,-0.37400902903979,0.3591613364557,0,1,1,0.184332756381631,0.452733778362869,-0.0940587360272253,0.985743090414242,1,1.33319040492241,-1.9485566687823,0,-0.098777030429341,1.01254725397398,0.176916644687445,0,0.562671866916233,0,1
5,4.37818161554232,-0.0960508726001148,-0.448400403161439,0.662293311492552,-0.163803335477597,0,-0.251011171815897,-1.39773101073199,1,0,1,1,0.0243085952717503,0.431130236675226,0.173237361778964,0.287304264874042,1,-0.389700297189302,-0.825654005394112,1.01119352457522,1,0,0.263295557905536,0,0,0,-0.0171631230297781,-0.445710061051511,0,1,0.832135293008009,1.65570454679963,-0.162772638769779,-0.293412255469575,1,1,1,-0.557834696009021,0.311380337488297,-0.214668644525891,0.427681079779823,0,-0.700688035129909,1.13998554413773,0,-0.277692448561872,-2.2328840893785,-1.14532554437011,1,-0.37090540653796,0,0
6,-0.428967069955488,-0.0445663193623609,0.716954185805438,1.05624329161468,0.793950209102057,0,1.76492147146739,0.165030750753425,0,0,1,0,-0.563094170963263,0.597591721299764,0.196221698820236,0.990659940971362,0,-0.184391804126321,-0.0718497354283582,0.995031660792019,1,0,0.293128648744942,0,0,1,0.510697833752335,-0.534505809460575,0,0,0.392466625926811,-1.18641470931813,0.188399951351771,1.18880060895216,1,1,0,-0.443582053582398,0.80935316153637,0.891112667790551,0.601927183537056,0,-0.00439152950076731,2.02071020494932,0,0.350484621951852,-0.426900738293156,-0.581760916314366,1,1.6203927351727,0,1
7,-7.49726659968319,0.149966702813632,1.22716472505702,2.64176582310647,-0.15784814743809,0,0.500426367630263,1.01060940989129,0,0,0,0,1.43825562091279,1.21607673162426,1.92788023241567,0.119844690514984,0,0.345839416610104,1.33341800855065,1.55939777017277,0,0,0.728379917215247,0,0,0,0.176954775719109,1.10821324126254,0,0,0.886018670688771,0.95078277461894,0.306325353353866,1.36822079690429,0,1,0,-0.0640368791805105,1.97997306009432,0.36161826730518,0.635558650214659,0,0.164390794940075,0.104281889847825,0,0.513118958399014,0.22986446865739,0.789828885529726,1,1.41649682403113,0,0
8,4.58569782610465,-0.141062831113433,-1.0238267667418,0.171658556214159,-0.566916949160812,0,0.502708016625444,0.74935817878852,1,0,0,1,-1.01851915754167,-0.701772846014184,0.978965381773632,-0.16935327924278,1,-0.765173632839421,-0.576532893423552,-1.23606021073837,1,0,0.835552773383062,1,1,0,0.562791231045855,0.0614036294623676,0,1,-0.309984076448922,1.00859643810082,1.26884721218416,-0.780271350543366,1,1,1,-0.31019355718095,-0.640706312626791,-0.244575829221595,-1.60601104188133,0,0.440997306699233,-0.742213456713289,1,0.485855881725186,-0.546688670777259,-0.117871671611011,1,-1.29506396665119,0,1
9,8.8007972905745,-1.06057944293984,0.0482792772247783,-1.19410233035361,0.914466713319508,1,-0.474917297020349,0.369879118376143,1,0,1,0,-0.875442044602626,-0.499559289039653,0.0515205885740518,0.645007376665779,1,0.158414146660918,0.794931868776738,-1.00297478901182,1,0,0.266582539982014,1,1,0,1.30352641530166,-1.4605618424726,1,1,-1.41362463460532,-0.962105875601736,0.519018959141517,0.848492343902622,1,1,1,-1.05229123023051,0.663554978055013,-0.303645464574384,-1.34161434950335,1,-0.154082654224359,1.22630712397702,1,-0.542002910234501,-0.935386614354324,-2.23492282499355,1,-1.08075331914216,0,0
10,-0.591956295307315,0.410222600150238,2.17786714935754,0.606464770358817,1.46925447211604,0,0.346835359090893,1.15826234793725,0,0,0,0,1.09243646196631,0.416465913815828,2.77354433536382,2.08543837436458,0,-0.524971697950262,1.57597699941359,0.631416145493698,0,0,1.19996978412541,0,0,0,0.2171055331645,0.212473653064428,1,0,3.0548023389164,0.539521451007013,1.13659725534569,0.749241300450137,0,0,0,0.895535343045651,0.761410045952089,1.28269476093611,-0.133916805656705,0,2.12238829615119,2.58320987101148,0,1.62043899204657,-0.279596945987851,1.10033949812058,0,1.12058448735858,0,1
